order,domain,arm,channel,dice_percent
2,Drishti_GS,G_CONST,macro,76.72908026406868
2,Drishti_GS,G_SHUFFLE,OD,89.35335656922291
2,Drishti_GS,G_SHUFFLE,OC,64.11306715242712
2,Drishti_GS,G_SHUFFLE,macro,76.73321186082501
2,Drishti_GS,G_GLOBAL,OD,89.4463126047005
2,Drishti_GS,G_GLOBAL,OC,64.0678274142883
2,Drishti_GS,G_GLOBAL,macro,76.7570700094944
3,REFUGE,C,OD,91.1475014106275
3,REFUGE,C,OC,82.83879939120862
3,REFUGE,C,macro,86.99315040091807
3,REFUGE,RP,OD,91.21020976130796
3,REFUGE,RP,OC,82.49352234679468
3,REFUGE,RP,macro,86.85186605405133
3,REFUGE,MT,OD,89.95823117243651
3,REFUGE,MT,OC,83.18005935489812
3,REFUGE,MT,macro,86.56914526366732
3,REFUGE,MT_RP,OD,89.99199941778302
3,REFUGE,MT_RP,OC,83.04318177788578
3,REFUGE,MT_RP,macro,86.51759059783438
3,REFUGE,FT,OD,88.35128135760141
3,REFUGE,FT,OC,83.05870446776501
3,REFUGE,FT,macro,85.70499291268321
3,REFUGE,FT_RP,OD,88.29758688797521
3,REFUGE,FT_RP,OC,83.18156834297272
3,REFUGE,FT_RP,macro,85.73957761547396
3,REFUGE,KDG,OD,91.16622258936523
3,REFUGE,KDG,OC,82.82475760907181
3,REFUGE,KDG,macro,86.99549009921851
3,REFUGE,K_ALL,OD,91.17741467020502
3,REFUGE,K_ALL,OC,82.81369045817763
3,REFUGE,K_ALL,macro,86.99555256419133
3,REFUGE,K_MAG,OD,91.14952904453465
3,REFUGE,K_MAG,OC,82.83753864536865
3,REFUGE,K_MAG,macro,86.99353384495164
3,REFUGE,K_FREE,OD,91.16339000808249
3,REFUGE,K_FREE,OC,82.8239138458373
3,REFUGE,K_FREE,macro,86.99365192695988
3,REFUGE,G_BOUND,OD,91.2195501382868
3,REFUGE,G_BOUND,OC,82.88336766135106
